statut_juridique,secteur_activite,taille,region,montant_financement
Coopérative,Agriculture,TPE,Autre,37560
Coopérative,Artisanat,TPE,Rabat-Salé-Kénitra,38836
Personne physique,Artisanat,PME,Fès-Meknès,118894
Coopérative,Tech,Start-up,Casablanca-Settat,397581
Auto-entrepreneur,Industrie,TPE,Autre,37566
Personne physique,Commerce,TPE,Rabat-Salé-Kénitra,36525
Auto-entrepreneur,Artisanat,TPE,Casablanca-Settat,31781
Auto-entrepreneur,Tech,TPE,Tanger-Tétouan,65242
Personne physique,Industrie,PME,Marrakech-Safi,156769
Auto-entrepreneur,Commerce,PME,Tanger-Tétouan,81887
Coopérative,Artisanat,TPE,Marrakech-Safi,35349
Auto-entrepreneur,Artisanat,Start-up,Fès-Meknès,110486
Personne physique,Agriculture,TPE,Rabat-Salé-Kénitra,40550
Personne physique,Agriculture,Start-up,Fès-Meknès,203595
Personne physique,Industrie,TPE,Marrakech-Safi,53683
Auto-entrepreneur,Commerce,Start-up,Marrakech-Safi,141709
Personne physique,Artisanat,TPE,Marrakech-Safi,38780
Personne physique,Industrie,Start-up,Autre,284059
Auto-entrepreneur,Industrie,TPE,Casablanca-Settat,63117
Coopérative,Tourisme,TPE,Rabat-Salé-Kénitra,39877
Auto-entrepreneur,Agriculture,Start-up,Fès-Meknès,125355
Personne physique,Commerce,PME,Fès-Meknès,132479
Personne physique,Artisanat,Start-up,Tanger-Tétouan,176521
Auto-entrepreneur,Industrie,PME,Marrakech-Safi,127481
Coopérative,Artisanat,TPE,Marrakech-Safi,35050
Personne physique,Tourisme,Start-up,Marrakech-Safi,198338
Personne physique,Commerce,Start-up,Fès-Meknès,182548
Personne physique,Industrie,Start-up,Tanger-Tétouan,251103
Auto-entrepreneur,Artisanat,PME,Casablanca-Settat,88683
Personne physique,Agriculture,PME,Autre,104498
Coopérative,Tourisme,TPE,Rabat-Salé-Kénitra,42773
Personne physique,Commerce,PME,Casablanca-Settat,151973
Personne physique,Tourisme,PME,Fès-Meknès,149083
Coopérative,Agriculture,TPE,Autre,27705
Personne physique,Commerce,Start-up,Autre,157158
Auto-entrepreneur,Tourisme,Start-up,Autre,130801
Auto-entrepreneur,Tech,TPE,Marrakech-Safi,48017
Auto-entrepreneur,Agriculture,Start-up,Rabat-Salé-Kénitra,178614
Coopérative,Agriculture,PME,Fès-Meknès,111936
Personne physique,Agriculture,TPE,Fès-Meknès,42355
Auto-entrepreneur,Tech,TPE,Autre,45233
Coopérative,Tech,TPE,Fès-Meknès,55203
Personne physique,Artisanat,Start-up,Rabat-Salé-Kénitra,182510
Coopérative,Industrie,TPE,Rabat-Salé-Kénitra,46793
Auto-entrepreneur,Tourisme,TPE,Tanger-Tétouan,37600
Auto-entrepreneur,Artisanat,TPE,Tanger-Tétouan,33418
Auto-entrepreneur,Tourisme,Start-up,Casablanca-Settat,186976
Coopérative,Industrie,PME,Rabat-Salé-Kénitra,187304
Coopérative,Tech,TPE,Rabat-Salé-Kénitra,66151
Auto-entrepreneur,Industrie,PME,Rabat-Salé-Kénitra,128690
Coopérative,Tech,Start-up,Tanger-Tétouan,325362
Auto-entrepreneur,Industrie,Start-up,Autre,198709
Auto-entrepreneur,Artisanat,Start-up,Autre,102534
Personne physique,Commerce,Start-up,Fès-Meknès,212771
Coopérative,Artisanat,PME,Autre,97261
Auto-entrepreneur,Tourisme,TPE,Marrakech-Safi,33765
Auto-entrepreneur,Artisanat,Start-up,Tanger-Tétouan,133857
Coopérative,Agriculture,Start-up,Rabat-Salé-Kénitra,218561
Personne physique,Tourisme,PME,Autre,136741
Personne physique,Industrie,PME,Tanger-Tétouan,195477
Auto-entrepreneur,Tourisme,Start-up,Autre,145722
Coopérative,Commerce,TPE,Casablanca-Settat,48979
Personne physique,Tech,TPE,Rabat-Salé-Kénitra,63340
Coopérative,Industrie,Start-up,Casablanca-Settat,312060
Coopérative,Tourisme,PME,Rabat-Salé-Kénitra,103530
Auto-entrepreneur,Industrie,Start-up,Tanger-Tétouan,253797
Personne physique,Industrie,Start-up,Fès-Meknès,259594
Auto-entrepreneur,Industrie,PME,Autre,126991
Personne physique,Tech,Start-up,Autre,295503
Personne physique,Artisanat,Start-up,Marrakech-Safi,152093
Personne physique,Industrie,Start-up,Casablanca-Settat,346101
Personne physique,Agriculture,PME,Autre,124501
Personne physique,Commerce,TPE,Tanger-Tétouan,50304
Coopérative,Tech,TPE,Fès-Meknès,52485
Auto-entrepreneur,Tourisme,PME,Tanger-Tétouan,117391
Coopérative,Tech,TPE,Casablanca-Settat,73855
Personne physique,Tourisme,Start-up,Marrakech-Safi,210904
Auto-entrepreneur,Tech,TPE,Autre,40705
Personne physique,Tourisme,Start-up,Tanger-Tétouan,242081
Auto-entrepreneur,Industrie,TPE,Rabat-Salé-Kénitra,59381
Coopérative,Artisanat,PME,Fès-Meknès,94519
Auto-entrepreneur,Tourisme,TPE,Tanger-Tétouan,35068
Auto-entrepreneur,Tourisme,TPE,Fès-Meknès,34544
Auto-entrepreneur,Agriculture,TPE,Autre,25340
Auto-entrepreneur,Tourisme,PME,Rabat-Salé-Kénitra,124765
Auto-entrepreneur,Agriculture,TPE,Marrakech-Safi,35154
Personne physique,Commerce,PME,Marrakech-Safi,109421
Auto-entrepreneur,Industrie,Start-up,Rabat-Salé-Kénitra,290100
Auto-entrepreneur,Agriculture,TPE,Fès-Meknès,27593
Coopérative,Artisanat,PME,Autre,101456
Auto-entrepreneur,Industrie,PME,Tanger-Tétouan,137255
Coopérative,Agriculture,TPE,Rabat-Salé-Kénitra,32930
Personne physique,Industrie,Start-up,Casablanca-Settat,310427
Auto-entrepreneur,Industrie,PME,Fès-Meknès,133527
Coopérative,Industrie,TPE,Marrakech-Safi,44697
Coopérative,Commerce,Start-up,Rabat-Salé-Kénitra,207095
Personne physique,Artisanat,PME,Marrakech-Safi,109101
Auto-entrepreneur,Tech,PME,Fès-Meknès,174853
Auto-entrepreneur,Tech,Start-up,Marrakech-Safi,227267
Coopérative,Agriculture,Start-up,Rabat-Salé-Kénitra,192118
Auto-entrepreneur,Industrie,TPE,Fès-Meknès,37445
Coopérative,Agriculture,TPE,Casablanca-Settat,42786
Auto-entrepreneur,Commerce,PME,Rabat-Salé-Kénitra,88067
Coopérative,Commerce,Start-up,Tanger-Tétouan,222747
Auto-entrepreneur,Tourisme,Start-up,Autre,175095
Personne physique,Commerce,Start-up,Rabat-Salé-Kénitra,223785
Auto-entrepreneur,Tourisme,PME,Fès-Meknès,100199
Auto-entrepreneur,Artisanat,Start-up,Autre,107386
Personne physique,Agriculture,Start-up,Rabat-Salé-Kénitra,192444
Auto-entrepreneur,Artisanat,PME,Casablanca-Settat,106037
Personne physique,Commerce,TPE,Casablanca-Settat,54313
Auto-entrepreneur,Artisanat,TPE,Tanger-Tétouan,22408
Coopérative,Artisanat,PME,Marrakech-Safi,98058
Coopérative,Artisanat,Start-up,Autre,154184
Auto-entrepreneur,Commerce,PME,Fès-Meknès,101503
Auto-entrepreneur,Industrie,TPE,Fès-Meknès,37970
Auto-entrepreneur,Artisanat,TPE,Marrakech-Safi,24839
Coopérative,Tourisme,PME,Casablanca-Settat,120303
Auto-entrepreneur,Commerce,PME,Casablanca-Settat,127088
Coopérative,Artisanat,TPE,Rabat-Salé-Kénitra,32588
Personne physique,Industrie,PME,Tanger-Tétouan,179052
Coopérative,Commerce,TPE,Autre,40413
Coopérative,Tech,PME,Tanger-Tétouan,199364
Personne physique,Industrie,PME,Tanger-Tétouan,208704
Coopérative,Tourisme,PME,Rabat-Salé-Kénitra,125356
Auto-entrepreneur,Artisanat,TPE,Tanger-Tétouan,24074
Auto-entrepreneur,Tech,PME,Marrakech-Safi,196892
Coopérative,Tech,TPE,Rabat-Salé-Kénitra,65057
Auto-entrepreneur,Commerce,TPE,Marrakech-Safi,29670
Coopérative,Tech,PME,Rabat-Salé-Kénitra,182764
Auto-entrepreneur,Tourisme,PME,Tanger-Tétouan,88595
Auto-entrepreneur,Tourisme,TPE,Marrakech-Safi,35544
Coopérative,Agriculture,TPE,Marrakech-Safi,41085
Auto-entrepreneur,Tourisme,Start-up,Marrakech-Safi,211218
Coopérative,Industrie,TPE,Rabat-Salé-Kénitra,66511
Auto-entrepreneur,Tech,Start-up,Fès-Meknès,226124
Auto-entrepreneur,Tourisme,Start-up,Tanger-Tétouan,171508
Personne physique,Commerce,Start-up,Marrakech-Safi,172399
Personne physique,Agriculture,PME,Autre,123343
Coopérative,Tech,PME,Fès-Meknès,169406
Personne physique,Agriculture,TPE,Autre,37888
Coopérative,Tech,Start-up,Tanger-Tétouan,342077
Personne physique,Commerce,PME,Tanger-Tétouan,123922
Auto-entrepreneur,Agriculture,PME,Marrakech-Safi,88567
Coopérative,Artisanat,PME,Marrakech-Safi,111972
Coopérative,Industrie,PME,Rabat-Salé-Kénitra,201704
Auto-entrepreneur,Industrie,PME,Fès-Meknès,125278
Coopérative,Tech,Start-up,Fès-Meknès,296811
Coopérative,Artisanat,Start-up,Marrakech-Safi,187289
Personne physique,Agriculture,Start-up,Tanger-Tétouan,160389
Coopérative,Artisanat,Start-up,Marrakech-Safi,151999
Auto-entrepreneur,Artisanat,TPE,Tanger-Tétouan,23525
Personne physique,Agriculture,Start-up,Tanger-Tétouan,200733
Personne physique,Commerce,PME,Marrakech-Safi,103258
Auto-entrepreneur,Artisanat,Start-up,Casablanca-Settat,148265
Auto-entrepreneur,Artisanat,TPE,Fès-Meknès,23628
Personne physique,Commerce,PME,Autre,116279
Coopérative,Artisanat,Start-up,Tanger-Tétouan,188748
Personne physique,Artisanat,Start-up,Tanger-Tétouan,196038
Auto-entrepreneur,Artisanat,Start-up,Casablanca-Settat,175292
Personne physique,Industrie,PME,Autre,170765
Auto-entrepreneur,Tourisme,PME,Rabat-Salé-Kénitra,92605
Personne physique,Commerce,TPE,Casablanca-Settat,41267
Coopérative,Artisanat,PME,Autre,99511
Personne physique,Industrie,PME,Casablanca-Settat,187396
Personne physique,Commerce,Start-up,Tanger-Tétouan,178809
Auto-entrepreneur,Tech,PME,Fès-Meknès,172522
Auto-entrepreneur,Tech,Start-up,Casablanca-Settat,283293
Auto-entrepreneur,Artisanat,Start-up,Rabat-Salé-Kénitra,133409
Personne physique,Industrie,PME,Marrakech-Safi,215854
Coopérative,Industrie,TPE,Autre,55562
Auto-entrepreneur,Commerce,TPE,Casablanca-Settat,36023
Auto-entrepreneur,Commerce,PME,Casablanca-Settat,133754
Personne physique,Industrie,TPE,Rabat-Salé-Kénitra,66783
Auto-entrepreneur,Commerce,Start-up,Fès-Meknès,177135
Coopérative,Industrie,Start-up,Casablanca-Settat,241344
Coopérative,Tourisme,PME,Casablanca-Settat,113421
Auto-entrepreneur,Industrie,TPE,Fès-Meknès,48027
Auto-entrepreneur,Tech,TPE,Rabat-Salé-Kénitra,68185
Personne physique,Commerce,Start-up,Autre,200716
Coopérative,Industrie,PME,Autre,124456
Coopérative,Industrie,TPE,Casablanca-Settat,50270
Auto-entrepreneur,Commerce,PME,Fès-Meknès,110241
Personne physique,Tourisme,TPE,Casablanca-Settat,42358
Coopérative,Tourisme,Start-up,Marrakech-Safi,204139
Coopérative,Commerce,Start-up,Autre,140255
Personne physique,Agriculture,PME,Tanger-Tétouan,99872
Personne physique,Commerce,Start-up,Marrakech-Safi,227150
Coopérative,Commerce,TPE,Casablanca-Settat,45259
Coopérative,Tourisme,Start-up,Rabat-Salé-Kénitra,199142
Personne physique,Tourisme,PME,Autre,107679
Coopérative,Commerce,PME,Tanger-Tétouan,129149
Auto-entrepreneur,Commerce,PME,Marrakech-Safi,90458
Auto-entrepreneur,Commerce,TPE,Autre,31114
Personne physique,Tourisme,TPE,Fès-Meknès,50756
Personne physique,Commerce,TPE,Rabat-Salé-Kénitra,38339
Personne physique,Commerce,TPE,Marrakech-Safi,49995
Auto-entrepreneur,Artisanat,TPE,Fès-Meknès,23226
Coopérative,Agriculture,Start-up,Casablanca-Settat,203342
Auto-entrepreneur,Tech,TPE,Fès-Meknès,50583
Coopérative,Agriculture,TPE,Marrakech-Safi,42695
Auto-entrepreneur,Artisanat,Start-up,Marrakech-Safi,127318
Coopérative,Tech,TPE,Casablanca-Settat,66519
Auto-entrepreneur,Commerce,PME,Fès-Meknès,115616
Personne physique,Artisanat,TPE,Fès-Meknès,33735
Auto-entrepreneur,Commerce,TPE,Casablanca-Settat,37439
Coopérative,Tourisme,PME,Fès-Meknès,104242
Auto-entrepreneur,Industrie,PME,Autre,140039
Auto-entrepreneur,Artisanat,PME,Casablanca-Settat,74451
Auto-entrepreneur,Tourisme,PME,Rabat-Salé-Kénitra,92966
Personne physique,Artisanat,TPE,Marrakech-Safi,36391
Auto-entrepreneur,Artisanat,PME,Rabat-Salé-Kénitra,82614
Personne physique,Tourisme,PME,Autre,143531
Personne physique,Tech,Start-up,Autre,365802
Auto-entrepreneur,Agriculture,PME,Tanger-Tétouan,104206
Auto-entrepreneur,Commerce,PME,Tanger-Tétouan,114980
Auto-entrepreneur,Artisanat,Start-up,Tanger-Tétouan,149371
Coopérative,Commerce,Start-up,Casablanca-Settat,178868
Auto-entrepreneur,Industrie,TPE,Fès-Meknès,50444
Personne physique,Tourisme,Start-up,Autre,179026
Auto-entrepreneur,Commerce,TPE,Rabat-Salé-Kénitra,33179
Coopérative,Tourisme,Start-up,Rabat-Salé-Kénitra,239776
Auto-entrepreneur,Commerce,Start-up,Rabat-Salé-Kénitra,181108
Coopérative,Agriculture,TPE,Rabat-Salé-Kénitra,43242
Coopérative,Agriculture,Start-up,Tanger-Tétouan,159339
Auto-entrepreneur,Agriculture,TPE,Rabat-Salé-Kénitra,35049
Personne physique,Agriculture,Start-up,Fès-Meknès,158368
Coopérative,Agriculture,PME,Tanger-Tétouan,114180
Auto-entrepreneur,Agriculture,Start-up,Rabat-Salé-Kénitra,185642
Auto-entrepreneur,Tourisme,TPE,Casablanca-Settat,40945
Personne physique,Artisanat,Start-up,Marrakech-Safi,158636
Coopérative,Commerce,TPE,Marrakech-Safi,31080
Coopérative,Agriculture,TPE,Marrakech-Safi,30520
Auto-entrepreneur,Tourisme,PME,Tanger-Tétouan,113283
Auto-entrepreneur,Tourisme,PME,Rabat-Salé-Kénitra,133105
Personne physique,Tourisme,TPE,Autre,35746
Personne physique,Artisanat,Start-up,Autre,172307
Coopérative,Commerce,TPE,Autre,39471
Coopérative,Artisanat,TPE,Tanger-Tétouan,31763
Auto-entrepreneur,Tech,Start-up,Fès-Meknès,284010
Coopérative,Tourisme,Start-up,Casablanca-Settat,250818
Personne physique,Tech,Start-up,Casablanca-Settat,348144
Personne physique,Industrie,Start-up,Marrakech-Safi,275627
Auto-entrepreneur,Agriculture,TPE,Marrakech-Safi,25608
Personne physique,Agriculture,TPE,Autre,42669
Personne physique,Artisanat,PME,Autre,110283
Personne physique,Commerce,TPE,Marrakech-Safi,46998
Personne physique,Tech,Start-up,Rabat-Salé-Kénitra,305624
Auto-entrepreneur,Commerce,PME,Fès-Meknès,94865
Auto-entrepreneur,Artisanat,Start-up,Fès-Meknès,111821
Coopérative,Agriculture,TPE,Fès-Meknès,27578
Personne physique,Commerce,PME,Fès-Meknès,126754
Coopérative,Commerce,Start-up,Marrakech-Safi,226503
Auto-entrepreneur,Agriculture,PME,Casablanca-Settat,122617
Auto-entrepreneur,Tech,PME,Marrakech-Safi,181222
Auto-entrepreneur,Agriculture,TPE,Fès-Meknès,25495
Auto-entrepreneur,Commerce,Start-up,Marrakech-Safi,154643
Auto-entrepreneur,Tech,PME,Fès-Meknès,148112
Auto-entrepreneur,Tech,PME,Tanger-Tétouan,185684
Auto-entrepreneur,Agriculture,Start-up,Autre,161410
Personne physique,Commerce,PME,Casablanca-Settat,133804
Coopérative,Artisanat,PME,Tanger-Tétouan,91396
Auto-entrepreneur,Commerce,PME,Rabat-Salé-Kénitra,87587
Personne physique,Tourisme,Start-up,Marrakech-Safi,206022
Personne physique,Industrie,Start-up,Rabat-Salé-Kénitra,308862
Coopérative,Artisanat,Start-up,Marrakech-Safi,133370
Auto-entrepreneur,Tech,Start-up,Autre,247289
Coopérative,Artisanat,TPE,Tanger-Tétouan,35950
Auto-entrepreneur,Tech,PME,Autre,156118
Personne physique,Tech,Start-up,Fès-Meknès,276498
Personne physique,Artisanat,PME,Autre,82845
Personne physique,Tech,PME,Autre,187076
Personne physique,Tech,TPE,Fès-Meknès,62816
Coopérative,Tourisme,Start-up,Marrakech-Safi,191057
Auto-entrepreneur,Commerce,Start-up,Fès-Meknès,163391
Auto-entrepreneur,Commerce,PME,Tanger-Tétouan,105443
Coopérative,Industrie,Start-up,Autre,271855
Auto-entrepreneur,Industrie,PME,Fès-Meknès,128098
Personne physique,Tourisme,PME,Autre,136346
Auto-entrepreneur,Industrie,TPE,Tanger-Tétouan,44901
Personne physique,Artisanat,TPE,Rabat-Salé-Kénitra,30215
Coopérative,Agriculture,TPE,Tanger-Tétouan,36780
Auto-entrepreneur,Agriculture,PME,Casablanca-Settat,109313
Coopérative,Agriculture,Start-up,Casablanca-Settat,232416
Auto-entrepreneur,Tourisme,TPE,Casablanca-Settat,43181
Personne physique,Tourisme,Start-up,Autre,236340
Coopérative,Tech,TPE,Marrakech-Safi,73290
Auto-entrepreneur,Agriculture,TPE,Marrakech-Safi,33339
Personne physique,Artisanat,PME,Marrakech-Safi,106166
Coopérative,Industrie,TPE,Autre,49717
Coopérative,Artisanat,TPE,Tanger-Tétouan,37527
Auto-entrepreneur,Industrie,PME,Marrakech-Safi,159734
Auto-entrepreneur,Agriculture,Start-up,Rabat-Salé-Kénitra,141541
Auto-entrepreneur,Agriculture,TPE,Casablanca-Settat,39120
Personne physique,Agriculture,PME,Tanger-Tétouan,104186
Auto-entrepreneur,Tourisme,TPE,Casablanca-Settat,38766
Coopérative,Industrie,PME,Marrakech-Safi,143238
Coopérative,Tourisme,Start-up,Tanger-Tétouan,217856
Auto-entrepreneur,Tourisme,Start-up,Fès-Meknès,196808
Auto-entrepreneur,Commerce,PME,Rabat-Salé-Kénitra,98119
Coopérative,Artisanat,PME,Marrakech-Safi,78700
Personne physique,Artisanat,PME,Marrakech-Safi,96537
Auto-entrepreneur,Tech,Start-up,Rabat-Salé-Kénitra,314270
Auto-entrepreneur,Tourisme,TPE,Rabat-Salé-Kénitra,35211
Coopérative,Industrie,Start-up,Fès-Meknès,233734
Auto-entrepreneur,Commerce,PME,Marrakech-Safi,89125
Personne physique,Commerce,PME,Autre,114636
Coopérative,Artisanat,Start-up,Marrakech-Safi,143385
Auto-entrepreneur,Tourisme,PME,Casablanca-Settat,129778
Coopérative,Tech,Start-up,Tanger-Tétouan,261654
Auto-entrepreneur,Tourisme,PME,Tanger-Tétouan,115086
Auto-entrepreneur,Agriculture,TPE,Casablanca-Settat,31505
Auto-entrepreneur,Tourisme,TPE,Tanger-Tétouan,35846
Personne physique,Agriculture,PME,Rabat-Salé-Kénitra,115219
Personne physique,Agriculture,Start-up,Tanger-Tétouan,217821
Coopérative,Tech,TPE,Tanger-Tétouan,74222
Auto-entrepreneur,Industrie,Start-up,Casablanca-Settat,308043
Auto-entrepreneur,Artisanat,PME,Fès-Meknès,82463
Personne physique,Tourisme,Start-up,Tanger-Tétouan,221635
Auto-entrepreneur,Agriculture,TPE,Autre,32467
Personne physique,Tourisme,Start-up,Tanger-Tétouan,241499
Auto-entrepreneur,Industrie,Start-up,Fès-Meknès,199141
Coopérative,Artisanat,PME,Casablanca-Settat,117294
Auto-entrepreneur,Industrie,PME,Fès-Meknès,132909
Auto-entrepreneur,Artisanat,PME,Casablanca-Settat,80905
Personne physique,Commerce,TPE,Rabat-Salé-Kénitra,40730
Auto-entrepreneur,Artisanat,TPE,Casablanca-Settat,27936
Auto-entrepreneur,Tech,PME,Rabat-Salé-Kénitra,177755
Personne physique,Industrie,PME,Rabat-Salé-Kénitra,168918
Coopérative,Agriculture,TPE,Casablanca-Settat,33637
Coopérative,Commerce,TPE,Autre,29243
Personne physique,Tech,TPE,Marrakech-Safi,72332
Personne physique,Tourisme,TPE,Casablanca-Settat,54148
Personne physique,Industrie,PME,Tanger-Tétouan,167150
Personne physique,Agriculture,TPE,Autre,29299
Personne physique,Artisanat,PME,Autre,80409
Coopérative,Agriculture,Start-up,Tanger-Tétouan,209858
Coopérative,Tourisme,Start-up,Marrakech-Safi,201977
Personne physique,Commerce,TPE,Autre,37540
Auto-entrepreneur,Commerce,Start-up,Rabat-Salé-Kénitra,145517
Personne physique,Industrie,Start-up,Marrakech-Safi,327436
Auto-entrepreneur,Commerce,Start-up,Tanger-Tétouan,171909
Personne physique,Industrie,TPE,Marrakech-Safi,52850
Personne physique,Industrie,TPE,Casablanca-Settat,55706
Coopérative,Industrie,Start-up,Marrakech-Safi,257406
Auto-entrepreneur,Artisanat,PME,Rabat-Salé-Kénitra,100095
Auto-entrepreneur,Tech,Start-up,Casablanca-Settat,353004
Coopérative,Industrie,TPE,Fès-Meknès,53410
Coopérative,Industrie,TPE,Tanger-Tétouan,58915
Coopérative,Tech,TPE,Tanger-Tétouan,53302
Coopérative,Agriculture,Start-up,Marrakech-Safi,186345
Auto-entrepreneur,Industrie,PME,Autre,138256
Auto-entrepreneur,Artisanat,TPE,Casablanca-Settat,27113
Personne physique,Commerce,TPE,Fès-Meknès,46514
Personne physique,Commerce,Start-up,Casablanca-Settat,205232
Coopérative,Tourisme,PME,Tanger-Tétouan,112435
Coopérative,Tourisme,Start-up,Casablanca-Settat,233492
Coopérative,Commerce,TPE,Fès-Meknès,38348
Personne physique,Commerce,PME,Autre,123902
Personne physique,Artisanat,PME,Marrakech-Safi,88704
Personne physique,Tech,TPE,Rabat-Salé-Kénitra,83774
Personne physique,Tourisme,PME,Casablanca-Settat,150451
Personne physique,Tech,PME,Rabat-Salé-Kénitra,217971
Personne physique,Artisanat,Start-up,Tanger-Tétouan,208677
Personne physique,Commerce,TPE,Marrakech-Safi,46586
Coopérative,Industrie,TPE,Marrakech-Safi,45749
Coopérative,Tech,TPE,Casablanca-Settat,76411
Coopérative,Commerce,TPE,Autre,28852
Coopérative,Commerce,TPE,Marrakech-Safi,31020
Personne physique,Agriculture,PME,Casablanca-Settat,126911
Auto-entrepreneur,Tech,Start-up,Casablanca-Settat,368809
Personne physique,Industrie,TPE,Rabat-Salé-Kénitra,54807
Auto-entrepreneur,Tech,Start-up,Marrakech-Safi,299336
Coopérative,Commerce,Start-up,Casablanca-Settat,182891
Personne physique,Industrie,PME,Rabat-Salé-Kénitra,205994
Coopérative,Artisanat,TPE,Fès-Meknès,29989
Personne physique,Agriculture,PME,Rabat-Salé-Kénitra,135071
Coopérative,Commerce,TPE,Rabat-Salé-Kénitra,35389
Auto-entrepreneur,Tourisme,PME,Casablanca-Settat,130472
Auto-entrepreneur,Tourisme,Start-up,Tanger-Tétouan,215685
Auto-entrepreneur,Agriculture,TPE,Tanger-Tétouan,34120
Personne physique,Artisanat,Start-up,Autre,157089
Auto-entrepreneur,Commerce,Start-up,Tanger-Tétouan,198776
Personne physique,Tech,PME,Rabat-Salé-Kénitra,177798
Auto-entrepreneur,Agriculture,TPE,Autre,31449
Auto-entrepreneur,Artisanat,Start-up,Casablanca-Settat,177947
Personne physique,Tech,PME,Marrakech-Safi,173181
Personne physique,Tourisme,TPE,Rabat-Salé-Kénitra,46306
Auto-entrepreneur,Tourisme,TPE,Rabat-Salé-Kénitra,33335
Personne physique,Tech,Start-up,Autre,323381
Auto-entrepreneur,Agriculture,TPE,Casablanca-Settat,37306
Personne physique,Tourisme,Start-up,Fès-Meknès,196874
Coopérative,Commerce,TPE,Rabat-Salé-Kénitra,39520
Coopérative,Industrie,PME,Fès-Meknès,140316
Coopérative,Tech,Start-up,Fès-Meknès,283616
Coopérative,Tech,Start-up,Tanger-Tétouan,272102
Coopérative,Tourisme,TPE,Casablanca-Settat,51421
Auto-entrepreneur,Agriculture,TPE,Fès-Meknès,24442
Coopérative,Commerce,Start-up,Casablanca-Settat,242555
Coopérative,Agriculture,TPE,Tanger-Tétouan,37032
Coopérative,Artisanat,PME,Casablanca-Settat,96950
Coopérative,Artisanat,TPE,Rabat-Salé-Kénitra,36026
Personne physique,Industrie,PME,Fès-Meknès,171530
Auto-entrepreneur,Tourisme,PME,Casablanca-Settat,118758
Coopérative,Tourisme,PME,Marrakech-Safi,102553
Coopérative,Tourisme,PME,Casablanca-Settat,127744
Coopérative,Industrie,PME,Fès-Meknès,137960
Auto-entrepreneur,Artisanat,TPE,Tanger-Tétouan,22576
Personne physique,Agriculture,PME,Tanger-Tétouan,113285
Auto-entrepreneur,Industrie,TPE,Fès-Meknès,38118
Personne physique,Industrie,PME,Rabat-Salé-Kénitra,170616
Coopérative,Agriculture,Start-up,Rabat-Salé-Kénitra,158194
Coopérative,Tourisme,PME,Tanger-Tétouan,102106
Auto-entrepreneur,Commerce,Start-up,Tanger-Tétouan,149533
Auto-entrepreneur,Agriculture,PME,Fès-Meknès,109435
Personne physique,Artisanat,PME,Rabat-Salé-Kénitra,88296
Personne physique,Tech,PME,Tanger-Tétouan,221649
Auto-entrepreneur,Tech,Start-up,Rabat-Salé-Kénitra,251810
Personne physique,Industrie,Start-up,Tanger-Tétouan,350475
Auto-entrepreneur,Tech,PME,Casablanca-Settat,154761
Personne physique,Commerce,TPE,Marrakech-Safi,50236
Auto-entrepreneur,Tourisme,PME,Autre,101513
Auto-entrepreneur,Artisanat,Start-up,Casablanca-Settat,123278
Auto-entrepreneur,Commerce,PME,Autre,106268
Personne physique,Artisanat,Start-up,Tanger-Tétouan,176520
Personne physique,Artisanat,Start-up,Marrakech-Safi,158387
Personne physique,Tourisme,Start-up,Marrakech-Safi,249055
Auto-entrepreneur,Industrie,PME,Tanger-Tétouan,168576
Personne physique,Tech,Start-up,Tanger-Tétouan,347717
Personne physique,Tourisme,Start-up,Rabat-Salé-Kénitra,218820
Auto-entrepreneur,Commerce,PME,Tanger-Tétouan,113789
Coopérative,Industrie,Start-up,Fès-Meknès,275151
Auto-entrepreneur,Commerce,PME,Tanger-Tétouan,117861
Personne physique,Industrie,Start-up,Fès-Meknès,306947
Auto-entrepreneur,Commerce,TPE,Tanger-Tétouan,30512
Coopérative,Tourisme,TPE,Rabat-Salé-Kénitra,49868
Auto-entrepreneur,Industrie,Start-up,Fès-Meknès,191961
Personne physique,Industrie,TPE,Casablanca-Settat,59874
Coopérative,Artisanat,PME,Fès-Meknès,90500
Personne physique,Artisanat,TPE,Rabat-Salé-Kénitra,37716
Coopérative,Agriculture,Start-up,Autre,130592
Coopérative,Commerce,Start-up,Fès-Meknès,202078
Auto-entrepreneur,Artisanat,PME,Tanger-Tétouan,79350
Auto-entrepreneur,Agriculture,Start-up,Tanger-Tétouan,154011
Personne physique,Artisanat,PME,Autre,106194
Auto-entrepreneur,Commerce,TPE,Rabat-Salé-Kénitra,33976
Auto-entrepreneur,Industrie,TPE,Marrakech-Safi,39307
Coopérative,Tech,PME,Tanger-Tétouan,164539
Auto-entrepreneur,Commerce,PME,Casablanca-Settat,132661
Coopérative,Tourisme,Start-up,Rabat-Salé-Kénitra,176088
Coopérative,Artisanat,TPE,Fès-Meknès,28189
Coopérative,Artisanat,PME,Fès-Meknès,89889
Personne physique,Industrie,TPE,Casablanca-Settat,65823
Personne physique,Tourisme,PME,Tanger-Tétouan,108214
Personne physique,Industrie,TPE,Rabat-Salé-Kénitra,63029
Coopérative,Tourisme,Start-up,Casablanca-Settat,212394
Personne physique,Tech,TPE,Tanger-Tétouan,83218
Personne physique,Artisanat,TPE,Rabat-Salé-Kénitra,31740
Auto-entrepreneur,Artisanat,TPE,Fès-Meknès,25048
Personne physique,Tech,TPE,Rabat-Salé-Kénitra,71133
Personne physique,Agriculture,TPE,Autre,34426
