statut_juridique,secteur_activite,taille,region,montant_financement
Coopérative,Agriculture,PME,Rabat-Salé-Kénitra,113954
Auto-entrepreneur,Commerce,Start-up,Fès-Meknès,173143
Personne physique,Tourisme,Start-up,Rabat-Salé-Kénitra,192938
Auto-entrepreneur,Artisanat,Start-up,Fès-Meknès,110911
Coopérative,Industrie,Start-up,Autre,264027
Coopérative,Tourisme,TPE,Fès-Meknès,31889
Personne physique,Agriculture,PME,Autre,89478
Coopérative,Artisanat,Start-up,Marrakech-Safi,126763
Auto-entrepreneur,Tech,TPE,Marrakech-Safi,66226
Personne physique,Tourisme,Start-up,Fès-Meknès,234057
Auto-entrepreneur,Agriculture,PME,Fès-Meknès,85847
Auto-entrepreneur,Commerce,TPE,Autre,28110
Personne physique,Industrie,PME,Rabat-Salé-Kénitra,177638
Auto-entrepreneur,Artisanat,PME,Autre,83906
Coopérative,Tourisme,TPE,Rabat-Salé-Kénitra,45270
Auto-entrepreneur,Tourisme,TPE,Marrakech-Safi,31467
Personne physique,Tech,TPE,Casablanca-Settat,66963
Personne physique,Tech,TPE,Fès-Meknès,55817
Personne physique,Commerce,TPE,Rabat-Salé-Kénitra,47486
Auto-entrepreneur,Industrie,TPE,Autre,47768
Personne physique,Commerce,TPE,Marrakech-Safi,38506
Personne physique,Agriculture,Start-up,Rabat-Salé-Kénitra,169759
Auto-entrepreneur,Agriculture,PME,Autre,71960
Coopérative,Commerce,TPE,Fès-Meknès,43138
Auto-entrepreneur,Industrie,Start-up,Fès-Meknès,209345
Personne physique,Commerce,Start-up,Tanger-Tétouan,235384
Personne physique,Industrie,Start-up,Casablanca-Settat,346456
Auto-entrepreneur,Industrie,PME,Tanger-Tétouan,137200
Coopérative,Artisanat,TPE,Marrakech-Safi,27792
Personne physique,Industrie,Start-up,Rabat-Salé-Kénitra,267295
Personne physique,Tech,PME,Marrakech-Safi,219661
Personne physique,Industrie,PME,Autre,179796
Auto-entrepreneur,Industrie,PME,Fès-Meknès,144674
Personne physique,Industrie,Start-up,Tanger-Tétouan,303636
Coopérative,Agriculture,TPE,Tanger-Tétouan,29404
